"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Xu Z.; Hariharan J.; Passalacqua P.; Steel E.; Chadwick A.; Paola C.; Paldor A.; Michael H.A.","Xu, Zhongyuan (57198998854); Hariharan, Jayaram (57231042900); Passalacqua, Paola (57203119863); Steel, Elisabeth (44161370000); Chadwick, Austin (57191336972); Paola, Chris (7004304292); Paldor, Anner (57191043516); Michael, Holly A. (8697727500)","57198998854; 57231042900; 57203119863; 44161370000; 57191336972; 7004304292; 57191043516; 8697727500","Effects of Geologic Setting on Contaminant Transport in Deltaic Aquifers","2022","Water Resources Research","58","9","e2022WR031943","","","","3","10.1029/2022WR031943","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138791287&doi=10.1029%2f2022WR031943&partnerID=40&md5=a7d256b997008e50aad71129594d39c8","Article","Final","","Scopus","2-s2.0-85138791287"
"Liu C.; Yan C.; Sun S.; Lei J.; Nepf H.; Shan Y.","Liu, Chao (57221258985); Yan, Chunhao (57212530044); Sun, Sichen (57864144900); Lei, Jiarui (57190172371); Nepf, Heidi (6701841204); Shan, Yuqi (54380729900)","57221258985; 57212530044; 57864144900; 57190172371; 6701841204; 54380729900","Velocity, Turbulence, and Sediment Deposition in a Channel Partially Filled With a Phragmites australis Canopy","2022","Water Resources Research","58","8","e2022WR032381","","","","2","10.1029/2022WR032381","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136901838&doi=10.1029%2f2022WR032381&partnerID=40&md5=e7b4580e20710eab46ca7d03e144b3db","Article","Final","","Scopus","2-s2.0-85136901838"
"Stephens C.M.; Marshall L.A.; Johnson F.M.; Ajami H.; Lin L.; Band L.E.","Stephens, C.M. (57189696799); Marshall, L.A. (15822266400); Johnson, F.M. (34876674300); Ajami, H. (35489984600); Lin, L. (55419025900); Band, L.E. (7005637276)","57189696799; 15822266400; 34876674300; 35489984600; 55419025900; 7005637276","Spatial Variation in Catchment Response to Climate Change Depends on Lateral Moisture Transport and Nutrient Dynamics","2022","Water Resources Research","58","10","e2021WR030577","","","","0","10.1029/2021WR030577","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141670977&doi=10.1029%2f2021WR030577&partnerID=40&md5=9726bf7a7a58a0df8a765178ce2005c2","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85141670977"
"Zhang C.; Gou L.; Hu S.; Lu N.","Zhang, Chao (56058507300); Gou, Lingyun (57787212500); Hu, Shaojie (57315321100); Lu, Ning (56249464800)","56058507300; 57787212500; 57315321100; 56249464800","A Thermodynamic Formulation of Water Potential in Soil","2022","Water Resources Research","58","9","e2022WR032369","","","","2","10.1029/2022WR032369","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138772565&doi=10.1029%2f2022WR032369&partnerID=40&md5=af63cc92a401f77c00dcb1dcd39b0230","Article","Final","","Scopus","2-s2.0-85138772565"
"Zheng X.; Huang S.; Peng J.; Leng G.; Huang Q.; Fang W.; Guo Y.","Zheng, Xudong (57213679354); Huang, Shengzhi (56083175200); Peng, Jian (57205067933); Leng, Guoyong (55073323400); Huang, Qiang (55498128600); Fang, Wei (57022851600); Guo, Yi (57202860631)","57213679354; 56083175200; 57205067933; 55073323400; 55498128600; 57022851600; 57202860631","Flash Droughts Identification Based on an Improved Framework and Their Contrasting Impacts on Vegetation Over the Loess Plateau, China","2022","Water Resources Research","58","9","e2021WR031464","","","","3","10.1029/2021WR031464","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139032756&doi=10.1029%2f2021WR031464&partnerID=40&md5=59cc947866bac5e10fbcbe6715ec5321","Article","Final","","Scopus","2-s2.0-85139032756"
"Chung C.-C.; Wang Y.-K.","Chung, Chih-Chung (56865057300); Wang, Yen-Kai (57912048400)","56865057300; 57912048400","Practical Assessment of Real-Time Suspended Sediment Load Monitoring Using Time Domain Reflectometry","2022","Water Resources Research","58","9","e2022WR032289","","","","0","10.1029/2022WR032289","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139027035&doi=10.1029%2f2022WR032289&partnerID=40&md5=c836060ff2e9bc05a9278f21584d4a88","Article","Final","","Scopus","2-s2.0-85139027035"
"Fahs M.; Koohbor B.; Shao Q.; Doummar J.; Baalousha H.M.; Voss C.I.","Fahs, Marwan (23993788800); Koohbor, Behshad (57200800335); Shao, Qian (57403934000); Doummar, Joanna (34874805200); Baalousha, Husam M. (8987378100); Voss, Clifford I. (56808140700)","23993788800; 57200800335; 57403934000; 34874805200; 8987378100; 56808140700","Effect of Flow-Direction-Dependent Dispersivity on Seawater Intrusion in Coastal Aquifers","2022","Water Resources Research","58","8","e2022WR032315","","","","3","10.1029/2022WR032315","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136963312&doi=10.1029%2f2022WR032315&partnerID=40&md5=0e9a3c93557ccbde7569da546ee45774","Article","Final","","Scopus","2-s2.0-85136963312"
"Jaramillo F.; Piemontese L.; Berghuijs W.R.; Wang-Erlandsson L.; Greve P.; Wang Z.","Jaramillo, Fernando (55583329700); Piemontese, Luigi (57208529638); Berghuijs, Wouter R. (56237051100); Wang-Erlandsson, Lan (56035883000); Greve, Peter (55907628100); Wang, Zhenqian (57866498900)","55583329700; 57208529638; 56237051100; 56035883000; 55907628100; 57866498900","Fewer Basins Will Follow Their Budyko Curves Under Global Warming and Fossil-Fueled Development","2022","Water Resources Research","58","8","e2021WR031825","","","","1","10.1029/2021WR031825","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136954051&doi=10.1029%2f2021WR031825&partnerID=40&md5=1043c154cf67e80b9c2f7ea67d8dbfb5","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85136954051"
"Yao P.; Su M.; Wang Z.; van Rijn L.C.; Stive M.J.F.; Xu C.; Chen Y.","Yao, Peng (55851209100); Su, Min (55851583600); Wang, Zhengbing (7410038362); van Rijn, Leo C. (7006796364); Stive, Marcel J. F. (7005106267); Xu, Chunyang (57192206687); Chen, Yongping (57216366993)","55851209100; 55851583600; 7410038362; 7006796364; 7005106267; 57192206687; 57216366993","Erosion Behavior of Sand-Silt Mixtures: Revisiting the Erosion Threshold","2022","Water Resources Research","58","9","e2021WR031788","","","","4","10.1029/2021WR031788","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139006537&doi=10.1029%2f2021WR031788&partnerID=40&md5=23fdd014e2a70512ac346497b3f6dda8","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85139006537"
"Nehemy M.F.; Maillet J.; Perron N.; Pappas C.; Sonnentag O.; Baltzer J.L.; Laroque C.P.; McDonnell J.J.","Nehemy, Magali F. (57202903369); Maillet, Jason (57193250927); Perron, Nia (57222192883); Pappas, Christoforos (55791742800); Sonnentag, Oliver (16310507500); Baltzer, Jennifer L. (7006116431); Laroque, Colin P. (6602272456); McDonnell, Jeffrey J. (7101838542)","57202903369; 57193250927; 57222192883; 55791742800; 16310507500; 7006116431; 6602272456; 7101838542","Snowmelt Water Use at Transpiration Onset: Phenology, Isotope Tracing, and Tree Water Transit Time","2022","Water Resources Research","58","9","e2022WR032344","","","","5","10.1029/2022WR032344","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139001523&doi=10.1029%2f2022WR032344&partnerID=40&md5=26031fa1bec4fc6dd46ae8d57270359e","Article","Final","","Scopus","2-s2.0-85139001523"
"Hernandez-Suarez J.S.; Nejadhashemi A.P.","Hernandez-Suarez, J. Sebastian (57197708761); Nejadhashemi, A. Pouyan (6504453135)","57197708761; 6504453135","Probabilistic Predictions of Ecologically Relevant Hydrologic Indices Using a Hydrological Model","2022","Water Resources Research","58","9","e2021WR031104","","","","0","10.1029/2021WR031104","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138873732&doi=10.1029%2f2021WR031104&partnerID=40&md5=0a8ebc337de74b08b86f0ebb5c5b8046","Article","Final","","Scopus","2-s2.0-85138873732"
"Stephens C.M.; Pham H.T.; Marshall L.A.; Johnson F.M.","Stephens, C.M. (57189696799); Pham, H.T. (57201267698); Marshall, L.A. (15822266400); Johnson, F.M. (34876674300)","57189696799; 57201267698; 15822266400; 34876674300","Which Rainfall Errors Can Hydrologic Models Handle? Implications for Using Satellite-Derived Products in Sparsely Gauged Catchments","2022","Water Resources Research","58","8","e2020WR029331","","","","0","10.1029/2020WR029331","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136902130&doi=10.1029%2f2020WR029331&partnerID=40&md5=e16a937d0a0aac6e68b77b074f0c9f77","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85136902130"
"Simone A.; Cesaro A.; Del Giudice G.; Di Cristo C.; Fecarotta O.","Simone, A. (56825393800); Cesaro, A. (51863098000); Del Giudice, G. (58044921800); Di Cristo, C. (57201073294); Fecarotta, O. (36503779200)","56825393800; 51863098000; 58044921800; 57201073294; 36503779200","Potentialities of Complex Network Theory Tools for Urban Drainage Networks Analysis","2022","Water Resources Research","58","8","e2022WR032277","","","","1","10.1029/2022WR032277","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136991383&doi=10.1029%2f2022WR032277&partnerID=40&md5=f37b0139f19fe3c9dc2d3d253a6f3e91","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85136991383"
"Jakobi J.; Huisman J.A.; Fuchs H.; Vereecken H.; Bogena H.R.","Jakobi, J. (57203895517); Huisman, J.A. (7102537656); Fuchs, H. (57866901900); Vereecken, H. (7004082452); Bogena, H.R. (55908049900)","57203895517; 7102537656; 57866901900; 7004082452; 55908049900","Potential of Thermal Neutrons to Correct Cosmic-Ray Neutron Soil Moisture Content Measurements for Dynamic Biomass Effects","2022","Water Resources Research","58","8","e2022WR031972","","","","2","10.1029/2022WR031972","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136942473&doi=10.1029%2f2022WR031972&partnerID=40&md5=23f26744bb90c861c9ca52e7434ed1a5","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85136942473"
"Jiang P.; Son K.; Mudunuru M.K.; Chen X.","Jiang, Peishi (57201701059); Son, Kyongho (57190950193); Mudunuru, Maruti K. (53984647600); Chen, Xingyuan (25228228100)","57201701059; 57190950193; 53984647600; 25228228100","Using Mutual Information for Global Sensitivity Analysis on Watershed Modeling","2022","Water Resources Research","58","10","e2022WR032932","","","","0","10.1029/2022WR032932","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141374267&doi=10.1029%2f2022WR032932&partnerID=40&md5=6011a4550eae2aea9a4fa579bdfab67e","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85141374267"
"Huang P.; Chui T.F.M.","Huang, Peng (57200700938); Chui, Ting Fong May (24723787700)","57200700938; 24723787700","Hyporheic Exchange in a Meandering Pool-Riffle Stream","2022","Water Resources Research","58","9","e2021WR031418","","","","2","10.1029/2021WR031418","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139037752&doi=10.1029%2f2021WR031418&partnerID=40&md5=7f9546f68ca8d121e03895effbe957db","Article","Final","","Scopus","2-s2.0-85139037752"
"Coviello V.; Vignoli G.; Simoni S.; Bertoldi W.; Engel M.; Buter A.; Marchetti G.; Andreoli A.; Savi S.; Comiti F.","Coviello, Velio (55319945700); Vignoli, Gianluca (15726701200); Simoni, Silvia (23669055900); Bertoldi, Walter (23097266600); Engel, Michael (55943534400); Buter, Anuschka (57219974939); Marchetti, Giulia (57200319835); Andreoli, Andrea (9533354900); Savi, Sara (55454193100); Comiti, Francesco (6603203028)","55319945700; 15726701200; 23669055900; 23097266600; 55943534400; 57219974939; 57200319835; 9533354900; 55454193100; 6603203028","Bedload Fluxes in a Glacier-Fed River at Multiple Temporal Scales","2022","Water Resources Research","58","10","e2021WR031873","","","","2","10.1029/2021WR031873","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140916937&doi=10.1029%2f2021WR031873&partnerID=40&md5=20ae6422ab584542742d49ab7464f249","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85140916937"
"Jiao T.; Ye M.; Jin M.; Yang J.","Jiao, Tian (57194037155); Ye, Ming (35226809800); Jin, Menggui (7202559445); Yang, Jing (57194043473)","57194037155; 35226809800; 7202559445; 57194043473","Decoupled Finite Particle Method With Normalized Kernel (DFPM-NK): A Computationally Efficient Method for Simulating Solute Transport in Heterogeneous Porous Media","2022","Water Resources Research","58","8","e2022WR032308","","","","1","10.1029/2022WR032308","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137660028&doi=10.1029%2f2022WR032308&partnerID=40&md5=7e31571ee5306c0b1c5e5a2d0f0db349","Article","Final","","Scopus","2-s2.0-85137660028"
"Kalai C.; Mondal A.","Kalai, Chingka (57216687222); Mondal, Arpita (23098202100)","57216687222; 23098202100","A Non-Parametric Circular Statistics-Based Framework for Predicting Peakflow Seasonality at Ungauged Sites","2022","Water Resources Research","58","8","e2021WR031004","","","","0","10.1029/2021WR031004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136898495&doi=10.1029%2f2021WR031004&partnerID=40&md5=f59acfcde33b87e50544c7b16cc4a471","Article","Final","","Scopus","2-s2.0-85136898495"
"Zhou L.; Hansen S.K.","Zhou, Lian (57883919500); Hansen, Scott K. (15822143000)","57883919500; 15822143000","Directly Generating Spatially Periodic, Heterogeneous Groundwater Flow Fields: A Finite Volume Approach","2022","Water Resources Research","58","8","e2022WR032015","","","","0","10.1029/2022WR032015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137689508&doi=10.1029%2f2022WR032015&partnerID=40&md5=9020eba25cc5ecdf8c682774bad50765","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85137689508"
"Li Z.; Quiring S.M.","Li, Zhiying (57205740319); Quiring, Steven M. (57204256646)","57205740319; 57204256646","Projection of Streamflow Change Using a Time-Varying Budyko Framework in the Contiguous United States","2022","Water Resources Research","58","10","e2022WR033016","","","","2","10.1029/2022WR033016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141670195&doi=10.1029%2f2022WR033016&partnerID=40&md5=028d5554accac573146bf31e7eba66f4","Article","Final","","Scopus","2-s2.0-85141670195"
"Veness W.A.; Butler A.P.; Ochoa-Tocachi B.F.; Moulds S.; Buytaert W.","Veness, W.A. (57869358200); Butler, A.P. (7201779789); Ochoa-Tocachi, B.F. (57190878695); Moulds, S. (56140768700); Buytaert, W. (6506727482)","57869358200; 7201779789; 57190878695; 56140768700; 6506727482","Localizing Hydrological Drought Early Warning Using In Situ Groundwater Sensors","2022","Water Resources Research","58","8","e2022WR032165","","","","0","10.1029/2022WR032165","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137096788&doi=10.1029%2f2022WR032165&partnerID=40&md5=35b1b78d895fffaf072f89f936423716","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85137096788"
"Grandi G.; Bertuzzo E.","Grandi, G. (57818658800); Bertuzzo, E. (23972622800)","57818658800; 23972622800","Catchment Dissolved Organic Carbon Transport: A Modeling Approach Combining Water Travel Times and Reactivity Continuum","2022","Water Resources Research","58","7","e2021WR031275","","","","5","10.1029/2021WR031275","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134879937&doi=10.1029%2f2021WR031275&partnerID=40&md5=2388fc113ba18d494c983b02f059f3f2","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85134879937"
"Modi P.; Revel M.; Yamazaki D.","Modi, Prakat (57718740500); Revel, Menaka (57208529087); Yamazaki, Dai (35231763100)","57718740500; 57208529087; 35231763100","Multivariable Integrated Evaluation of Hydrodynamic Modeling: A Comparison of Performance Considering Different Baseline Topography Data","2022","Water Resources Research","58","8","e2021WR031819","","","","2","10.1029/2021WR031819","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136862163&doi=10.1029%2f2021WR031819&partnerID=40&md5=5d07eb644be094571dad54975f475487","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85136862163"
"Ben-Noah I.; Friedman S.P.; Berkowitz B.","Ben-Noah, Ilan (56866453900); Friedman, Shmulik P. (35511657400); Berkowitz, Brian (7103293707)","56866453900; 35511657400; 7103293707","Air Injection Into Water-Saturated Granular Media—A Dimensional Meta-Analysis","2022","Water Resources Research","58","6","e2022WR032125","","","","1","10.1029/2022WR032125","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132921930&doi=10.1029%2f2022WR032125&partnerID=40&md5=9b5376e37b7cfb5bf9a529d717d32733","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85132921930"
"Eldardiry H.; Zhou T.; Huang M.; Chegwidden O.S.","Eldardiry, Hisham (56885835900); Zhou, Tian (57111263900); Huang, Maoyi (8042408300); Chegwidden, Oriana S. (57201135479)","56885835900; 57111263900; 8042408300; 57201135479","The Role of Groundwater Withdrawals on River Regulation: Example From the Columbia River Basin","2022","Water Resources Research","58","6","e2020WR028955","","","","0","10.1029/2020WR028955","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132886962&doi=10.1029%2f2020WR028955&partnerID=40&md5=b96a4cef9257cffed5220de979ba96ca","Article","Final","","Scopus","2-s2.0-85132886962"
"Rädle V.; Kersting A.; Schmidt M.; Ringena L.; Robertz J.; Aeschbach W.; Oberthaler M.; Müller T.","Rädle, Viola (57764999400); Kersting, Arne (57197463983); Schmidt, Maximilian (57220821751); Ringena, Lisa (57195301155); Robertz, Julian (57206770740); Aeschbach, Werner (57226432760); Oberthaler, Markus (7004239795); Müller, Thomas (55424405800)","57764999400; 57197463983; 57220821751; 57195301155; 57206770740; 57226432760; 7004239795; 55424405800","Multi-Tracer Groundwater Dating in Southern Oman Using Bayesian Modeling","2022","Water Resources Research","58","6","e2021WR031776","","","","0","10.1029/2021WR031776","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132885752&doi=10.1029%2f2021WR031776&partnerID=40&md5=f0921d7bcf8a106fa18e237b3bfc0507","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85132885752"
"Fousiya A.A.; Aravind G.H.; Achyutan H.; Chakraborty S.; Chattopadhyay R.; Datye A.; Murkute C.; Lone A.M.; Kripalani R.H.; Yadava M.G.; Mohan P.M.","Fousiya, A.A. (57192586001); Aravind, G.H. (57410568100); Achyutan, H. (57864146600); Chakraborty, S. (13404728800); Chattopadhyay, R. (16506458200); Datye, A. (57076046100); Murkute, C. (57224085673); Lone, A.M. (57191498274); Kripalani, R.H. (7004351721); Yadava, M.G. (6602325946); Mohan, P.M. (7103262680)","57192586001; 57410568100; 57864146600; 13404728800; 16506458200; 57076046100; 57224085673; 57191498274; 7004351721; 6602325946; 7103262680","Modulation of the Precipitation Isotopes by the Dynamic and Thermodynamic Variables of the Atmosphere in Southern Parts of India","2022","Water Resources Research","58","8","e2021WR030855","","","","2","10.1029/2021WR030855","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136866929&doi=10.1029%2f2021WR030855&partnerID=40&md5=d29eaa3747686f06e4087dd75c7d2ba2","Article","Final","","Scopus","2-s2.0-85136866929"
"Cui P.; Xie H.; Wang Z.; Hao H.; Li C.; Gao M.","Cui, Pengfei (57646001400); Xie, Heping (57725078400); Wang, Zhihe (57201026030); Hao, Haichun (57195414855); Li, Cunbao (56034130200); Gao, Mingzhong (7201511763)","57646001400; 57725078400; 57201026030; 57195414855; 56034130200; 7201511763","Implications of Local-Scale Approximations on Describing Fluid Flow in Rock Fractures With Stress-Induced Void Heterogeneity","2022","Water Resources Research","58","7","e2021WR031867","","","","1","10.1029/2021WR031867","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134880088&doi=10.1029%2f2021WR031867&partnerID=40&md5=23e37cb9870deec56125e1e84eb9eb5b","Article","Final","","Scopus","2-s2.0-85134880088"
"Kouadio K.L.; Kouame L.N.; Drissa C.; Mi B.; Kouamelan K.S.; Gnoleba S.P.D.; Zhang H.; Xia J.","Kouadio, Kouao Laurent (57219890745); Kouame, Loukou Nicolas (57212968478); Drissa, Coulibaly (57818807200); Mi, Binbin (56644391300); Kouamelan, Kouamelan Serge (57201748229); Gnoleba, Serge Pacôme Déguine (57818705700); Zhang, Hongyu (57210475506); Xia, Jianghai (8602011900)","57219890745; 57212968478; 57818807200; 56644391300; 57201748229; 57818705700; 57210475506; 8602011900","Groundwater Flow Rate Prediction From Geo-Electrical Features Using Support Vector Machines","2022","Water Resources Research","58","7","e2021WR031623","","","","1","10.1029/2021WR031623","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134882944&doi=10.1029%2f2021WR031623&partnerID=40&md5=4eb29571176dc3c5b0b58e868c62df7e","Article","Final","","Scopus","2-s2.0-85134882944"
"Pannone M.; De Vincenzo A.","Pannone, M. (6601975815); De Vincenzo, A. (23501549400)","6601975815; 23501549400","On the Prediction of the Characteristic Times of River Meander Cutoff Sequence: Theoretical Model and Comparison With Laboratory and Field Observations","2022","Water Resources Research","58","7","e2021WR031661","","","","1","10.1029/2021WR031661","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134879145&doi=10.1029%2f2021WR031661&partnerID=40&md5=99ba59a2c8f5134b026b9081606729bd","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85134879145"
"Algera D.A.; Kamal R.; Ward T.D.; Pleizier N.K.; Brauner C.J.; Crossman J.A.; Leake A.; Zhu D.Z.; Power M.; Cooke S.J.","Algera, Dirk A. (56771416100); Kamal, Rajib (57190016034); Ward, Taylor D. (56572054000); Pleizier, Naomi K. (56198407600); Brauner, Colin J. (7006489438); Crossman, James A. (36839100600); Leake, Alf (43261281300); Zhu, David Z. (7403598685); Power, Michael (24784803700); Cooke, Steven J. (24320083600)","56771416100; 57190016034; 56572054000; 56198407600; 7006489438; 36839100600; 43261281300; 7403598685; 24784803700; 24320083600","Exposure Risk of Fish Downstream of a Hydropower Facility to Supersaturated Total Dissolved Gas","2022","Water Resources Research","58","6","e2021WR031887","","","","5","10.1029/2021WR031887","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132909017&doi=10.1029%2f2021WR031887&partnerID=40&md5=d37b8962508dc21e18745b4af91e9a8d","Article","Final","","Scopus","2-s2.0-85132909017"
"Glose T.J.; Zipper S.; Hyndman D.W.; Kendall A.D.; Deines J.M.; Butler J.J., Jr.","Glose, Thomas J. (57205754664); Zipper, Sam (56246896000); Hyndman, David W. (7005335914); Kendall, Anthony D. (14041940100); Deines, Jillian M. (54782254200); Butler, James J. (57190578788)","57205754664; 56246896000; 7005335914; 14041940100; 54782254200; 57190578788","Quantifying the Impact of Lagged Hydrological Responses on the Effectiveness of Groundwater Conservation","2022","Water Resources Research","58","7","e2022WR032295","","","","2","10.1029/2022WR032295","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134881458&doi=10.1029%2f2022WR032295&partnerID=40&md5=78c12346b40b87d7ae1d31132c4ec746","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85134881458"
"Papangelakis E.; MacVicar B.J.; Montakhab A.F.; Ashmore P.","Papangelakis, E. (57190215451); MacVicar, B.J. (56853338100); Montakhab, A.F. (57818837900); Ashmore, P. (7003719671)","57190215451; 56853338100; 57818837900; 7003719671","Flow Strength and Bedload Sediment Travel Distance in Gravel Bed Rivers","2022","Water Resources Research","58","7","e2022WR032296","","","","3","10.1029/2022WR032296","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134882826&doi=10.1029%2f2022WR032296&partnerID=40&md5=e427ef8d3d198d3ba0c100384ebaae17","Article","Final","","Scopus","2-s2.0-85134882826"
"Hou Y.; Yang J.; Russoniello C.J.; Zheng T.; Wu M.-L.; Yu X.","Hou, Yuxuan (57812816400); Yang, Jie (57192452224); Russoniello, Christopher J. (55735493200); Zheng, Tianyuan (57189575807); Wu, Mei-lin (22954838100); Yu, Xuan (37861469800)","57812816400; 57192452224; 55735493200; 57189575807; 22954838100; 37861469800","Impacts of Coastal Shrimp Ponds on Saltwater Intrusion and Submarine Groundwater Discharge","2022","Water Resources Research","58","7","e2021WR031866","","","","11","10.1029/2021WR031866","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134883809&doi=10.1029%2f2021WR031866&partnerID=40&md5=7854cd8814cdd409d5d9583d0c54fdf7","Article","Final","","Scopus","2-s2.0-85134883809"
"Ai Z.; Ishihama F.; Hanasaki N.","Ai, Zhipin (57188823603); Ishihama, Fumiko (7801415544); Hanasaki, Naota (7004928517)","57188823603; 7801415544; 7004928517","Mapping Current and Future Seawater Desalination Plants Globally Using Species Distribution Models","2022","Water Resources Research","58","7","e2021WR031156","","","","0","10.1029/2021WR031156","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134876833&doi=10.1029%2f2021WR031156&partnerID=40&md5=896533ba37ab0bc5c2ea5b2a4b3671c7","Article","Final","","Scopus","2-s2.0-85134876833"
"Humphrey C.E.; Solomon D.K.; Genereux D.P.; Gilmore T.E.; Mittelstet A.R.; Zlotnik V.A.; Zeyrek C.; Jensen C.R.; MacNamara M.R.","Humphrey, C. Eric (57536188700); Solomon, D. Kip (35608507100); Genereux, David P. (57203427292); Gilmore, Troy E. (56957913200); Mittelstet, Aaron R. (35622280200); Zlotnik, Vitaly A. (7003503142); Zeyrek, Caner (57224930208); Jensen, Craig R. (57401771300); MacNamara, Markus R. (57402627100)","57536188700; 35608507100; 57203427292; 56957913200; 35622280200; 7003503142; 57224930208; 57401771300; 57402627100","Using Automated Seepage Meters to Quantify the Spatial Variability and Net Flux of Groundwater to a Stream","2022","Water Resources Research","58","6","e2021WR030711","","","","1","10.1029/2021WR030711","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132915544&doi=10.1029%2f2021WR030711&partnerID=40&md5=95687b3373ccfc87f581071ceffc8740","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85132915544"
"Russo D.; Kurtzman D.; Nachshon U.","Russo, D. (7201590836); Kurtzman, D. (8639308500); Nachshon, U. (24605872900)","7201590836; 8639308500; 24605872900","Hydraulic Issues Concerning Injection of Harvested Rainwater to the Subsurface Through Drywells: Insight From Numerical Simulations of Flow in a Realistic Combined Vadose Zone-Groundwater Flow System","2022","Water Resources Research","58","7","e2021WR031881","","","","2","10.1029/2021WR031881","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134879305&doi=10.1029%2f2021WR031881&partnerID=40&md5=13b1f1c314314526afca17b8ef267721","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85134879305"
"Norouzi A.M.; Niasar V.; Gluyas J.G.; Babaei M.","Norouzi, A.M. (57202451913); Niasar, V. (24461683200); Gluyas, J.G. (6603541751); Babaei, M. (40561040400)","57202451913; 24461683200; 6603541751; 40561040400","Analytical Solution for Predicting Salt Precipitation During CO2 Injection Into Saline Aquifers in Presence of Capillary Pressure","2022","Water Resources Research","58","6","e2022WR032612","","","","3","10.1029/2022WR032612","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132885400&doi=10.1029%2f2022WR032612&partnerID=40&md5=242cf9dc16463b1b2be86385b9e7b168","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85132885400"
