"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Publisher","Document Type","Publication Stage","Open Access","Source","EID"
"Yu M.; Xing L.; Wang L.; Zhang F.; Xing X.; Li C.","Yu, Miao (57218139946); Xing, Liting (34878169400); Wang, Liyan (57875639000); Zhang, Fengjuan (57226025196); Xing, Xuerui (57206663647); Li, Changsuo (55781501700)","57218139946; 34878169400; 57875639000; 57226025196; 57206663647; 55781501700","An improved multifractal detrended fluctuation analysis method for estimating the dynamic complexity of electrical conductivity of karst springs","2023","Journal of Hydroinformatics","25","2","","174","190","16","0","10.2166/hydro.2023.043","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158122486&doi=10.2166%2fhydro.2023.043&partnerID=40&md5=eb15ddf6444bdbcede16c94aeada01b4","IWA Publishing","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85158122486"
"Daher A.; Al Sakka H.; Chaaban A.K.","Daher, Ali (57220944014); Al Sakka, Hassan (35755270400); Chaaban, Alain Khaled (58154057600)","57220944014; 35755270400; 58154057600","Low complexity single-layer neural network for enhanced rainfall estimation using microwave links","2023","Journal of Hydroinformatics","25","1","","101","112","11","0","10.2166/hydro.2022.099","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150734936&doi=10.2166%2fhydro.2022.099&partnerID=40&md5=8044b356831fa1abcaa213e8c2ce6e72","IWA Publishing","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85150734936"
"Ahmed W.M.; Li S.S.; Ramamurthy A.S.","Ahmed, Warda M. (57212518952); Li, S. Samuel (35305191500); Ramamurthy, Amruthur S. (55666153700)","57212518952; 35305191500; 55666153700","Discharge of a siphon spillway under submerged exit condition","2023","Journal of Hydroinformatics","25","2","","332","348","16","0","10.2166/hydro.2023.109","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158101824&doi=10.2166%2fhydro.2023.109&partnerID=40&md5=7c32224a408140a67582e39cab31c869","IWA Publishing","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85158101824"
"Mo T.; Li S.; Li G.","Mo, Tiexiang (57876417100); Li, Shanshan (57196099910); Li, Guodong (58537400000)","57876417100; 57196099910; 58537400000","An interpretable machine learning model for predicting cavity water depth and cavity length based on XGBoost–SHAP","2023","Journal of Hydroinformatics","25","4","","1488","1500","12","0","10.2166/hydro.2023.050","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167969858&doi=10.2166%2fhydro.2023.050&partnerID=40&md5=0da4f6dd26c6212a69ff0d38fe34f8de","IWA Publishing","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85167969858"
"Xu Z.; Gong Z.; Cheng H.; Cheng J.","Xu, Zuping (58418348700); Gong, Zhihao (57209335300); Cheng, Haomiao (56681555000); Cheng, Jilin (8426486400)","58418348700; 57209335300; 56681555000; 8426486400","Optimal water allocation integrated with water supply, replenishment, and spill in the in-series reservoir based on an improved decomposition and dynamic programming aggregation method","2023","Journal of Hydroinformatics","25","3","","","","","0","10.2166/hydro.2023.208","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163803598&doi=10.2166%2fhydro.2023.208&partnerID=40&md5=b9439d088acbd5f1139eb1beb70748bd","IWA Publishing","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85163803598"
"Xu D.-M.; Wang X.; Wang W.-C.; Chau K.-W.; Zang H.-F.","Xu, Dong-Mei (55683672100); Wang, Xiang (58418348800); Wang, Wen-Chuan (55713538200); Chau, Kwok-Wing (7202674661); Zang, Hong-Fei (58104595900)","55683672100; 58418348800; 55713538200; 7202674661; 58104595900","Improved monthly runoff time series prediction using the SOA–SVM model based on ICEEMDAN–WD decomposition","2023","Journal of Hydroinformatics","25","3","","943","970","27","0","10.2166/hydro.2023.172","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163840781&doi=10.2166%2fhydro.2023.172&partnerID=40&md5=bba56f758c0be75bcf93363e388034fb","IWA Publishing","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85163840781"
"Tzimopoulos C.; Papadopoulos K.; Papadopoulos B.; Samarinas N.; Evangelides C.","Tzimopoulos, Christos (7004012753); Papadopoulos, Kyriakos (35788216800); Papadopoulos, Basil (7003614199); Samarinas, Nikiforos (57201990904); Evangelides, Christos (6505604689)","7004012753; 35788216800; 7003614199; 57201990904; 6505604689","Fuzzy solution of nonlinear Boussinesq equation","2022","Journal of Hydroinformatics","24","6","","1127","1147","20","2","10.2166/hydro.2022.026","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145724078&doi=10.2166%2fhydro.2022.026&partnerID=40&md5=1ab9ab514e29fcc70141dc0e9e0528bc","IWA Publishing","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85145724078"
"Koue J.; Shimadera H.; Matsuo T.; Kondo A.","Koue, Jinichi (57200201987); Shimadera, Hikari (34168355400); Matsuo, Tomohito (56697806700); Kondo, Akira (24466540100)","57200201987; 34168355400; 56697806700; 24466540100","Analysis of the effects of climate change on the gyre in Lake Biwa, Japan","2023","Journal of Hydroinformatics","25","2","","243","257","14","0","10.2166/hydro.2023.075","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158097994&doi=10.2166%2fhydro.2023.075&partnerID=40&md5=9c21c974a012b0e309f0e17695b8683c","IWA Publishing","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85158097994"
"Zhou L.; Qiao Y.; Zhang Z.; Han Z.; Lei X.; Qin Y.; Wang H.","Zhou, Luyan (57782815200); Qiao, Yu (57208796360); Zhang, Zhao (57193280486); Han, Zhongkai (58418348900); Lei, Xiaohui (15760501200); Qin, Yufeng (58419018100); Wang, Hao (36619287400)","57782815200; 57208796360; 57193280486; 58418348900; 15760501200; 58419018100; 36619287400","Development of a novel outlier index for real-time detection of water level outliers for open-channel water transfer projects","2023","Journal of Hydroinformatics","25","3","","1072","1083","11","0","10.2166/hydro.2023.227","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163858117&doi=10.2166%2fhydro.2023.227&partnerID=40&md5=9630df8dda0190ce3ea999609db53c8e","IWA Publishing","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85163858117"
"Devi R.R.; Chattopadhyay S.","Devi, Rashmi Rekha (57800611600); Chattopadhyay, Surajit (35475366000)","57800611600; 35475366000","An information-theoretic study of rainfall time series through the Dempster–Shafer approach over a meteorological subdivision of India","2022","Journal of Hydroinformatics","24","6","","1269","1280","11","1","10.2166/hydro.2022.192","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145719841&doi=10.2166%2fhydro.2022.192&partnerID=40&md5=8ce7629fcde1b16ba16601a028db5d6e","IWA Publishing","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85145719841"
"Wadwekar M.; Kapshe M.","Wadwekar, Mrunmayi (57225957306); Kapshe, Manmohan (7801543374)","57225957306; 7801543374","Assessing spatial variation in water supply of a city using dasymetric mapping","2023","Journal of Hydroinformatics","25","4","","1295","1311","16","0","10.2166/hydro.2023.199","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167987056&doi=10.2166%2fhydro.2023.199&partnerID=40&md5=5df03dcf5724e1699df8697406979c7c","IWA Publishing","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85167987056"
"Moon H.; Yoon S.; Moon Y.","Moon, Hyeontae (57219247519); Yoon, Sunkwon (55551151100); Moon, Youngil (7203054579)","57219247519; 55551151100; 7203054579","Urban flood forecasting using a hybrid modeling approach based on a deep learning technique","2023","Journal of Hydroinformatics","25","2","","593","610","17","4","10.2166/hydro.2023.203","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158130019&doi=10.2166%2fhydro.2023.203&partnerID=40&md5=5a8505a9764c83651dbb3e6c75d56e49","IWA Publishing","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85158130019"
"Roushangar K.; Sadaghiani A.A.; Shahnazi S.","Roushangar, Kiyoumars (53880403000); Sadaghiani, Arman Alirezazadeh (57735879100); Shahnazi, Saman (57207686420)","53880403000; 57735879100; 57207686420","Novel application of robust GWO-KELM model in predicting discharge coefficient of radial gates: a field data-based analysis","2023","Journal of Hydroinformatics","25","2","","275","299","24","0","10.2166/hydro.2023.096","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158144441&doi=10.2166%2fhydro.2023.096&partnerID=40&md5=dc678ccf9178e237a12c149c8b17d8c3","IWA Publishing","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85158144441"
"Yang L.; Hou J.; Tong Y.; Wang P.; Cheng L.; Song C.; Yuan L.; Lv J.; Xue S.","Yang, Lu (57215058547); Hou, Jingming (57205305086); Tong, Yu (57208799405); Wang, Pan (58122320000); Cheng, Long (57323237900); Song, Ce (36780188900); Yuan, Liu (58121424400); Lv, Jiaojiao (57205329994); Xue, Shuhong (58122320100)","57215058547; 57205305086; 57208799405; 58122320000; 57323237900; 36780188900; 58121424400; 57205329994; 58122320100","Assessment of suitable minimum ecological flow downstream of a dam in the Upper Yellow River based on native fish conservation","2023","Journal of Hydroinformatics","25","1","","150","162","12","0","10.2166/hydro.2022.136","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149122204&doi=10.2166%2fhydro.2022.136&partnerID=40&md5=d29a72af9dcd960bd3f80a1d7f32ae72","IWA Publishing","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85149122204"
"Marvin G.; Grbčic L.; Družeta S.; Kranjčevic L.","Marvin, Gabriel (58454284400); Grbčic, Luka (55808870600); Družeta, Siniša (16024060100); Kranjčevic, Lado (16024997600)","58454284400; 55808870600; 16024060100; 16024997600","Water distribution network leak localization with histogram-based gradient boosting","2023","Journal of Hydroinformatics","25","3","","","","","1","10.2166/hydro.2023.102","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164002391&doi=10.2166%2fhydro.2023.102&partnerID=40&md5=18108fa47a2cb652accb415b03dbc375","IWA Publishing","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85164002391"
"de Melo W.W.; Pinho J.L.S.; Iglesias I.","de Melo, Willian Weber (57726275700); Pinho, J.L.S. (7003672576); Iglesias, Isabel (55316356200)","57726275700; 7003672576; 55316356200","Emulating the estuarine morphology evolution using a deep convolutional neural network emulator based on hydrodynamic results of a numerical model","2022","Journal of Hydroinformatics","24","6","1254","","","","1","10.2166/hydro.2022.068","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145725693&doi=10.2166%2fhydro.2022.068&partnerID=40&md5=926be86e144eacaafced5ed54b034fe3","IWA Publishing","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85145725693"
"Makropoulos C.; Bouziotas D.","Makropoulos, Christos (55953606300); Bouziotas, Dimitrios (56330314300)","55953606300; 56330314300","Artificial intelligence for decentralized water systems: A smart planning agent based on reinforcement learning for off-grid camp water infrastructures","2023","Journal of Hydroinformatics","25","3","","912","926","14","0","10.2166/hydro.2023.168","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164338509&doi=10.2166%2fhydro.2023.168&partnerID=40&md5=9a2c53e47bfafc0baa57474d8d22a0c4","IWA Publishing","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85164338509"
"Seo J.; Kim Y.","Seo, Jungho (58237359600); Kim, Yeonjoo (55574123272)","58237359600; 55574123272","Assessing the likelihood of drought impact occurrence with extreme gradient boosting: a case study on the public water supply in South Korea","2023","Journal of Hydroinformatics","25","2","","191","207","16","1","10.2166/hydro.2023.064","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158129547&doi=10.2166%2fhydro.2023.064&partnerID=40&md5=c9e1bd57675a8442b1f58ff5c811db66","IWA Publishing","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85158129547"
"Balekelayi N.; Tesfamariam S.","Balekelayi, Ngandu (57208867795); Tesfamariam, Solomon (8264664200)","57208867795; 8264664200","Bayesian geoadditive water pipe failure forecasting model by optimizing the updating period","2023","Journal of Hydroinformatics","25","1","","1","19","18","0","10.2166/hydro.2022.040","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149236690&doi=10.2166%2fhydro.2022.040&partnerID=40&md5=34ab475a08f4a09c17181e96dd986344","IWA Publishing","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85149236690"
"Sermet Y.; Demir I.","Sermet, Yusuf (57199732082); Demir, Ibrahim (56425613600)","57199732082; 56425613600","Camera-based intelligent stream stage sensing for decentralized environmental monitoring","2023","Journal of Hydroinformatics","25","2","","163","173","10","1","10.2166/hydro.2023.032","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158132155&doi=10.2166%2fhydro.2023.032&partnerID=40&md5=c25ae5032ec492f4c10b852b8fdd03bf","IWA Publishing","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85158132155"
"Ho H.-C.; Chan K.-C.; Chang S.-H.; Huang C.-C.","Ho, Hao-Che (35210414000); Chan, Kun-Che (58480406500); Chang, Shu-Hao (57301240200); Huang, Cheng-Chia (55535154900)","35210414000; 58480406500; 57301240200; 55535154900","Three-phase data augmentation for the prediction of sediment flux in mountain basins during typhoon events","2023","Journal of Hydroinformatics","25","3","","1054","1071","17","0","10.2166/hydro.2023.214","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164319695&doi=10.2166%2fhydro.2023.214&partnerID=40&md5=cf8e87fe2e3848fe22e98f931629b061","IWA Publishing","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85164319695"
"Creaco E.; Giudicianni C.; Mottahedin A.","Creaco, Enrico (56037591400); Giudicianni, Carlo (7801362336); Mottahedin, Amirabbas (58077450200)","56037591400; 7801362336; 58077450200","Improved community detection for WDN partitioning in the dual topology based on segments and valves","2023","Journal of Hydroinformatics","25","4","","1341","1357","16","0","10.2166/hydro.2023.209","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167980414&doi=10.2166%2fhydro.2023.209&partnerID=40&md5=51045f81325425e93ee495e46a46297c","IWA Publishing","Article","Final","","Scopus","2-s2.0-85167980414"
"Yang Z.; Wang Y.; Yang K.; Hu H.; Song S.; Xu S.; Zhang X.; Ye S.; Li J.","Yang, Zhe (55700194400); Wang, Yufeng (57092708500); Yang, Kan (55478582400); Hu, Hu (57203002817); Song, Songbai (7403349876); Xu, Shiqin (57188564114); Zhang, Xuguang (58043930800); Ye, Sumeng (58044683300); Li, Jiaxin (58062788600)","55700194400; 57092708500; 55478582400; 57203002817; 7403349876; 57188564114; 58043930800; 58044683300; 58062788600","The energy, water supply, and ecology coordination for middle-long-term reservoirs scheduling with different connection modes using an elite mutation strategy-based NMOSFLA","2022","Journal of Hydroinformatics","24","6","","1091","1110","19","1","10.2166/hydro.2022.268","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145687866&doi=10.2166%2fhydro.2022.268&partnerID=40&md5=e6ad722cee36dc01ae8b87d30296c188","IWA Publishing","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85145687866"
"Iqbal U.; Barthelemy J.; Perez P.","Iqbal, Umair (57209005974); Barthelemy, Johan (56416004800); Perez, Pascal (7201902645)","57209005974; 56416004800; 7201902645","Visual blockage assessment at culverts using synthetic images to mitigate blockage-originated floods","2023","Journal of Hydroinformatics","25","4","","1531","1545","14","0","10.2166/hydro.2023.068","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168097622&doi=10.2166%2fhydro.2023.068&partnerID=40&md5=1499818045a4b5619a25388b0b6e3bf1","IWA Publishing","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85168097622"
"Mohtashami A.; Al-Ghafri A.S.; Akbarpour A.","Mohtashami, Ali (57457544800); Al-Ghafri, Abdullah Saif (6507460364); Akbarpour, Abolfazl (56990449300)","57457544800; 6507460364; 56990449300","Qanat’s hydraulic harim determination using the meshless numerical method","2023","Journal of Hydroinformatics","25","3","","1103","1120","17","0","10.2166/hydro.2023.020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163831283&doi=10.2166%2fhydro.2023.020&partnerID=40&md5=b2db9ef54e05438dfa2bdbc0d6ab8048","IWA Publishing","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85163831283"
"Gonçalves G.M.S.; Bartels G.K.; Lima L.S.; dos Santos Boeira L.; Collares G.L.","Gonçalves, George Marino Soares (58124907000); Bartels, Guilherme Kruger (57221292774); Lima, Luciana Shigihara (57610777800); dos Santos Boeira, Lukas (57457756800); Collares, Gilberto Loguercio (25026643100)","58124907000; 57221292774; 57610777800; 57457756800; 25026643100","Continuous discharge monitoring of the Mirim-São Gonçalo system by the index velocity rating curve method","2023","Journal of Hydroinformatics","25","1","","20","35","15","1","10.2166/hydro.2023.045","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149198569&doi=10.2166%2fhydro.2023.045&partnerID=40&md5=d76b4d1d379eb044e15f28fce9c3bbc0","IWA Publishing","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85149198569"
"Ma J.; Zheng H.; Li R.; Rao K.; Yang Y.; Li W.","Ma, Jinfeng (55156920000); Zheng, Hua (8253975000); Li, Ruonan (55491333600); Rao, Kaifeng (9240741900); Yang, Yanzheng (56311694800); Li, Weifeng (57200582077)","55156920000; 8253975000; 55491333600; 9240741900; 56311694800; 57200582077","A Hadoop cloud-based surrogate modelling framework for approximating complex hydrological models","2023","Journal of Hydroinformatics","25","2","","511","525","14","0","10.2166/hydro.2023.184","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158093417&doi=10.2166%2fhydro.2023.184&partnerID=40&md5=94d520d817441cd5c1fa871188e7c8ef","IWA Publishing","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85158093417"
"Idrees A.K.; Al-Ameri R.","Idrees, Anees Kadhum (57191974554); Al-Ameri, Riyadh (58118410100)","57191974554; 58118410100","Investigating a new approach to enhance the discharge capacity of labyrinth weirs","2023","Journal of Hydroinformatics","25","2","","300","317","17","1","10.2166/hydro.2023.097","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158114080&doi=10.2166%2fhydro.2023.097&partnerID=40&md5=d35690ddb96cf34283b1303aa3fdeab2","IWA Publishing","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85158114080"
"Erfani S.M.H.; Goharian E.","Erfani, Seyed Mohammad Hassan (57434867900); Goharian, Erfan (55355679500)","57434867900; 55355679500","Vision-based texture and color analysis of waterbody images using computer vision and deep learning techniques","2023","Journal of Hydroinformatics","25","3","","835","850","15","2","10.2166/hydro.2023.146","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162874566&doi=10.2166%2fhydro.2023.146&partnerID=40&md5=e6a0c130ca928b2fcac6d2eff5c946da","IWA Publishing","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85162874566"
"Wan X.; Farmani R.; Keedwell E.","Wan, Xi (57837606300); Farmani, Raziyeh (8585125300); Keedwell, Edward (8367205700)","57837606300; 8585125300; 8367205700","Online leakage detection system based on EWMA-enhanced Tukey method for water distribution systems","2023","Journal of Hydroinformatics","25","1","","51","69","18","3","10.2166/hydro.2022.079","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150729122&doi=10.2166%2fhydro.2022.079&partnerID=40&md5=b7e073bd145bb39afc6908d6e68ce618","IWA Publishing","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85150729122"
"Lin R.; Zhou X.; Li B.; He X.","Lin, Ruixiang (58237607100); Zhou, Xinzhi (15747786100); Li, Bo (57216510433); He, Xin (58033122600)","58237607100; 15747786100; 57216510433; 58033122600","A pre-training model based on CFD for open-channel velocity field prediction with small sample data","2023","Journal of Hydroinformatics","25","2","","396","414","18","0","10.2166/hydro.2023.121","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158140573&doi=10.2166%2fhydro.2023.121&partnerID=40&md5=22645ea27ba87235f4db38dbdf4e1a5d","IWA Publishing","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85158140573"
"Xiao Z.; Liang Z.; Wang J.; Li B.; Hu Y.; Wang J.","Xiao, Zhangling (57209274673); Liang, Zhongmin (7402177894); Wang, Jian (57204936199); Li, Binquan (35319858700); Hu, Yiming (55772351500); Wang, Jun (58479907700)","57209274673; 7402177894; 57204936199; 35319858700; 55772351500; 58479907700","An improved butterfly optimization algorithm and its application in cascade hydropower generation operation","2023","Journal of Hydroinformatics","25","3","","1121","1138","17","0","10.2166/hydro.2023.026","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164342041&doi=10.2166%2fhydro.2023.026&partnerID=40&md5=5e3e2e6f7fb230c867e9ae1967e0cd8d","IWA Publishing","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85164342041"
"Huang H.; Lin Z.; Liu S.; Zhang Z.","Huang, Haidong (57222958072); Lin, Zhenliang (57431820500); Liu, Shitong (57432224300); Zhang, Zhixiong (57818102900)","57222958072; 57431820500; 57432224300; 57818102900","A neural network approach for short-term water demand forecasting based on a sparse autoencoder","2023","Journal of Hydroinformatics","25","1","","70","84","14","0","10.2166/hydro.2022.089","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149238592&doi=10.2166%2fhydro.2022.089&partnerID=40&md5=a45cd913b11b1f8aaa148f11db2891be","IWA Publishing","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85149238592"
"Fang Y.; Zhang D.; Wu G.","Fang, Yihui (57195481823); Zhang, Dejian (56512568900); Wu, Guoxiang (58537679200)","57195481823; 56512568900; 58537679200","Toward establishing a knowledge graph for drought disaster based on ontology design and named entity recognition","2023","Journal of Hydroinformatics","25","4","","1457","1470","13","0","10.2166/hydro.2023.046","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168002884&doi=10.2166%2fhydro.2023.046&partnerID=40&md5=9cc2d65112d4bec7cd4101efb42b1a1b","IWA Publishing","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85168002884"
"Song Z.; Yang L.; Li Z.; Sun B.","Song, Zhanqi (57861865500); Yang, Lei (57218603335); Li, Zhigang (58480527700); Sun, Bin (55576978100)","57861865500; 57218603335; 58480527700; 55576978100","Hydraulic characteristics optimization of an airfoil pillar-shaped flume based on the Hicks–Henne function and NSGA-II algorithm","2023","Journal of Hydroinformatics","25","3","","867","880","13","0","10.2166/hydro.2023.150","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164319662&doi=10.2166%2fhydro.2023.150&partnerID=40&md5=6220dca5071d671164a03b5dbccc04ed","IWA Publishing","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85164319662"
"Khorrami B.","Khorrami, Behnam (57201380752)","57201380752","Satellite-based investigation of water stress at the basin scale: an integrated analysis of downscaled GRACE estimates and remotely sensed data","2023","Journal of Hydroinformatics","25","4","","1501","1512","11","1","10.2166/hydro.2023.062","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166019018&doi=10.2166%2fhydro.2023.062&partnerID=40&md5=63626deb24dba7c1dc6a37a7e4783355","IWA Publishing","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85166019018"
"Sharma S.; Ghimire G.R.; Siddique R.","Sharma, Sanjib (57193026331); Ghimire, Ganesh Raj (57190012268); Siddique, Ridwan (56385357600)","57193026331; 57190012268; 56385357600","Machine learning for postprocessing ensemble streamflow forecasts","2023","Journal of Hydroinformatics","25","1","","126","139","13","1","10.2166/hydro.2022.114","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149210576&doi=10.2166%2fhydro.2022.114&partnerID=40&md5=8e822d47e77afd97725e0280d0765ded","IWA Publishing","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85149210576"
"Anchieta T.; Meirelles G.; Carpitella S.; Brentan B.; Izquierdo J.","Anchieta, Thomaz (57221766403); Meirelles, Gustavo (57195289413); Carpitella, Silvia (57191625394); Brentan, Bruno (55898255600); Izquierdo, Joaquin (7102685422)","57221766403; 57195289413; 57191625394; 55898255600; 7102685422","Water distribution network expansion: an evaluation from the perspective of complex networks and hydraulic criteria","2023","Journal of Hydroinformatics","25","3","","628","644","16","0","10.2166/hydro.2023.080","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163949581&doi=10.2166%2fhydro.2023.080&partnerID=40&md5=6127cdb62ebbbd75d34c0c2e0776d287","IWA Publishing","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85163949581"
"Sit M.A.; Seo B.; Demir I.","Sit, Muhammed Ali (57199691574); Seo, Bongchul (36573940500); Demir, Ibrahim (56425613600)","57199691574; 36573940500; 56425613600","TempNet – temporal super-resolution of radar rainfall products with residual CNNs","2023","Journal of Hydroinformatics","25","2","","552","566","14","0","10.2166/hydro.2023.196","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158153646&doi=10.2166%2fhydro.2023.196&partnerID=40&md5=1bd4e69dbe86342a2d1acf852280bc4b","IWA Publishing","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85158153646"
"Sherjah P.Y.; Sajikumar N.; Nowshaja P.T.","Sherjah, P.Y. (57580926000); Sajikumar, N. (57189643622); Nowshaja, P.T. (24476817300)","57580926000; 57189643622; 24476817300","Quality monitoring of inland water bodies using Google Earth Engine","2023","Journal of Hydroinformatics","25","2","","432","450","18","0","10.2166/hydro.2023.137","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158128090&doi=10.2166%2fhydro.2023.137&partnerID=40&md5=2433dc1ba6e578007028b0fe7042a96d","IWA Publishing","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85158128090"
"Pourvaziri M.; Mahmoudkelaye S.; Yousefi S.","Pourvaziri, Mitra (57204036169); Mahmoudkelaye, Samira (57204035237); Yousefi, Saied (23981864100)","57204036169; 57204035237; 23981864100","Development of a genetic algorithm-based graph model for conflict resolution for optimizing resolutions in environmental conflicts","2023","Journal of Hydroinformatics","25","3","","927","942","15","0","10.2166/hydro.2023.169","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164333437&doi=10.2166%2fhydro.2023.169&partnerID=40&md5=bfc3ef04e515b5a1c57b2352ec38bbaa","IWA Publishing","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85164333437"
"Matin G.N.","Matin, Ghazaleh Nassaji (57221673474)","57221673474","Evaluation of effective parameters of Manning roughness coefficients in HDPE culverts via kernel-based approaches","2022","Journal of Hydroinformatics","24","6","","1111","1126","15","0","10.2166/hydro.2022.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145741613&doi=10.2166%2fhydro.2022.003&partnerID=40&md5=c384ed891f73aad85e8cfa0023237bd8","IWA Publishing","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85145741613"
"Wang L.; Dong H.; Cao Y.; Hou D.; Zhang G.","Wang, Lixiang (57280706800); Dong, Huilin (57766383500); Cao, Yuqi (57193630276); Hou, Dibo (7103150808); Zhang, Guangxin (8333224700)","57280706800; 57766383500; 57193630276; 7103150808; 8333224700","Real-time water quality detection based on fluctuation feature analysis with the LSTM model","2023","Journal of Hydroinformatics","25","1","","140","149","9","2","10.2166/hydro.2023.127","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149145449&doi=10.2166%2fhydro.2023.127&partnerID=40&md5=aea798cc8474987d70e4bc122fe7b54e","IWA Publishing","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85149145449"
